phrase,label
Gostaria de reservar um quarto para outubro,cotacao
qual valor do quarto para o natal,cotacao
quero fazer uma reserva para o fds,cotacao
quanto fica para 2 adultos e 1 crianca,cotacao
qual o melhor quarto de vcs?,nao_cotacao
no quarto tem toalha?,nao_cotacao
no quaro tem sabonete?,nao_cotacao
a piscina tem cloro?,nao_cotacao
nao gostei do quarto,nao_cotacao
fiz uma reserva semana passada e queria saber sobre checkin,nao_cotacao
valor dia 10 ao dia 12?,cotacao
aceitam pets?,nao_cotacao
quanto ta a diaria?,cotacao
quero me hospedar esse fim de semana,cotacao
esqueci uma coisa no dia 12/10,nao_cotacao